[2026-03-19 10:34:14] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:15] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:18] IP: 148.113.17.96 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:20] IP: 57.144.209.32 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:20] IP: 57.144.209.32 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:28] IP: 148.113.17.96 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:29] IP: 3.173.21.63 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:30] IP: 129.227.206.7 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:34] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:34] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:35] IP: 142.251.153.119 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:35] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:36] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:36] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:36] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:37] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:37] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:37] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:38] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:38] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:38] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:39] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:39] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
[2026-03-19 10:34:39] IP: 172.64.148.235 | Attack: neptune | Category: DoS | Confidence: 100.00% | Action: Blocked
